GeoHipster,Lat-Lon,Location,Photo URL
Mano Marks,"37.7577, -122.4376",San Francisco,"<a href=""https://twitter.com/ManoMarks/statuses/482701001817083904"" target=""_blank"">Photo</a>"
Hugh Saalmans,"-35.2812211, 149.1291486","Canberra, Australia","<a href=""https://twitter.com/minus34/statuses/487888904129744896"" target=""_blank"">Photo</a>"
Atanas Entchev,"40.5515985, -74.4640924","Piscataway, NJ","<a href=""https://twitter.com/atanas/statuses/470274837462536193"" target=""_blank"">Photo</a>"
Don Meltz,"36.7674971, -76.0476647","Virginia Beach, VA","<a href=""https://twitter.com/DonMeltz/statuses/491705687932534787"" target=""_blank"">Photo</a>"
Glenn Letham,"49.258734, -123.207515",Vancouver,"<a href=""http://instagram.com/p/q-imi3Euui"" target=""_blank"">Photo</a>"
Nicholas Duggan,"50.9875199, -1.4953409","Romsey, UK","<a href=""https://twitter.com/Dragons8mycat/status/500362909634285568/photo/1"" target=""_blank"">Photo</a>"
Mark Ireland,"49.10969, -122.645686","Vancouver, BC","<a href=""https://twitter.com/FMEEvangelist/status/516793496238555137"" target=""_blank"">Photo</a>"
"Mike Dolbow, David Bitner","43.9959875, -92.4811724","Rochester, MN","<a href=""https://twitter.com/bitnerd/status/517831752346107904/photo/1"" target=""_blank"">Photo</a>"
Christina Boggs,"37.770701, -122.490585",San Francisco,"<a href=""http://instagram.com/p/ttQXEchbfC/"" target=""_blank"">Photo</a>"
Randal Hale,"35.9584634, -83.9250825","Knoxville, TN","<a href=""https://twitter.com/rjhale/status/522798170666205184"" target=""_blank"">Photo</a>"
Bill Morris,"44.4925904, -73.2266484","Burlington, VT","<a href=""https://twitter.com/vtcraghead/status/524932189008715776"" target=""_blank"">Photo</a>"
Will Skora,"41.456622, -81.669037","Cleveland, OH","<a href=""https://twitter.com/skorasaurus/status/528318678312689664"" target=""_blank"">Photo</a>"
Jason Birch,"49.1731669, -123.9370211","Nanaimo, BC, Canada","<a href=""http://geohipster.com/wp-content/uploads/2014/07/Jason-Birch.jpg"" target=""_blank"">Photo</a>"
Mike Dolbow,"45.589769, -122.595094","Portland, OR","<a href=""https://twitter.com/mmdolbow/status/549045150509318146"" target=""_blank"">Photo</a>"
John Reiser,"39.707987, -75.111523","Glassboro, NJ","<a href=""http://instagram.com/p/xRpbkLJPpa/"" target=""_blank"">Photo</a>"
Steven Feldman,"51.5902188, -0.1393719","Muswell Hill, London, UK","<a href=""https://twitter.com/StevenFeldman/status/559048506602971136/photo/1"" target=""_blank"">Photo</a>"
François Goulet,"45.6838015, -73.857219","Blainville, QC, Canada","<a href=""https://twitter.com/fgcartographix/status/559174433114296321"" target=""_blank"">Photo</a>"
Simon Miles,"51.3150968, -0.5505373","Woking, Surrey, UK","<a href=""https://twitter.com/geosmiles/status/560025532491112449/photo/1"" target=""_blank"">Photo</a>"
andest01,"44.870697, -93.2614785","Minneapolis, MN","<a href=""https://twitter.com/andest01/status/563052695360405505"" target=""_blank"">Photo</a>"
Nick Furness,"38.8993487, -77.0145666","Washington, DC","<a href=""https://twitter.com/jonahadkins/status/565571196683825153"" target=""_blank"">Photo</a>"
Ross McDonald,"55.975209, -3.299634","Cramond, Scotland, UK","<a href=""https://twitter.com/mixedbredie/status/566563409718968321/photo/1"" target=""_blank"">Photo</a>"
Steven Feldman,"46.1596, 6.8502101","Champéry, Switzerland","<a href=""https://twitter.com/StevenFeldman/status/566682024745132032"" target=""_blank"">Photo</a>"
David Bitner,"44.970697, -93.3614785","Minneapolis, MN","<a href=""https://twitter.com/bitnerd/status/568428188835008512"" target=""_blank"">Photo</a>"
Mano Marks,"37.420721, -122.082085","Mountain View, CA","<a href=""https://twitter.com/ManoMarks/status/570646247360442369"" target=""_blank"">Photo</a>"
Srikant Panda,"18.5246164, 73.8629674","Pune, Maharashtra, India","<a href=""http://geohipster.com/wp-content/uploads/2014/07/Srikant-Panda.jpg"" target=""_blank"">Photo</a>"
David Bitner,"37.59361, -122.36527","Burlingame, CA","<a href=""https://twitter.com/rjhale/status/575831817363722240"" target=""_blank"">Photo</a>"
Christina Boggs,"37.808074, -122.270501","Oakland, CA","<a href=""https://twitter.com/rockoncali/status/576921253186949120"" target=""_blank"">Photo</a>"
François Goulet,"45.692111, -73.907389","Blainville, QC, Canada","<a href=""https://twitter.com/fgcartographix/status/579282946571571200"" target=""_blank"">Photo</a>"
François Goulet,"26.022291, -80.115071","Hollywood, FL","<a href=""https://twitter.com/fgcartographix/status/587228984301072385/photo/1"" target=""_blank"">Photo</a>"
Antonio Locandro,"14.059977, -86.870431","Ojo de Agua, El Paraiso, Honduras","<a href=""https://twitter.com/antoniolocandro/status/594589820602683392"" target=""_blank"">Photo</a>"
